Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates,SA
"RT @Conflits_FR: 🇫🇷 Pandémie de #coronavirus : Les enseignants dénoncent une ""injustice"" concernant le maintien de l'oral du #BAC2020 de fr…",140,1247899051070119941,Wed Apr 08 14:48:13 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,382,nan,nan,nan,0.0
Fml https://t.co/6D15tpaLaT,27,1248028808764108805,Wed Apr 08 23:23:49 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,0,nan,nan,nan,0.0
"Here's some optimism for your business, and some tips and advice during what may be testing times for your company.

#businesstips #businessasusual #COVID19 @fertilefrog https://t.co/ReJSpS9qua https://t.co/wxjD534NmE",217,1248366856831934466,Thu Apr 09 21:47:06 +0000 2020,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0,0,nan,nan,nan,0.0
RT @EelcoHoecke: Veel mensen zijn in deze #Corona #COVIDー19 #coronavirus tijden blijkbaar vergeten hoe het komt dat de zorg in Nederland er…,140,1248907632628453376,Sat Apr 11 09:35:57 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,62,nan,nan,nan,0.275
"RT @TomFitton: Can we ""model"" the #coronavirus threat to our Constitution?",74,1248962043748569089,Sat Apr 11 13:12:10 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,526,nan,nan,nan,0.0
"RT @minsaude: O @minsaude atualiza a situação do #coronavírus no Brasil - 11/04: 

▶️ 20.727 casos 
▶️ 1.124 óbitos

Confira a plataforma:…",139,1249125462980399105,Sun Apr 12 00:01:32 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,648,nan,nan,nan,0.0
"RT @affluencekana: 医療に従事する人たちがどれくらい何重にも重ねて感染から自分の身を守り、ひいては次の患者、何百何千の感染を防ごうとしているか見て欲しい

こういうマスクやガーグル、ガウンや防護服が世界中で圧倒的に不足している

各国の首脳や関係省庁が早期に真…",140,1249246483624259584,Sun Apr 12 08:02:26 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,591,nan,nan,nan,0.2416666666666667
RT @TheIntlScholar: #Tajikistan and #Turkmenistan are gambling that they can weather the #COVID19 crisis and minimize the damage to their p…,140,1250106630202589189,Tue Apr 14 17:00:21 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,3,nan,nan,nan,0.0
"RT @ThaiPBS: ""มันหาเงินไม่ได้อีกแล้วหนู ลุงยอมปรับตัวให้อยู่รอด""  ลุง สิทธิชัย ใกล้ชิด คนขับแท็กซี่ในวัย 72 ปี เพราะพิษ #COVID19 ทำให้รับ…",138,1250111200781676544,Tue Apr 14 17:18:30 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0,11209,nan,nan,nan,0.0
"RT @Damkyan_Omega: Je vous laisse deviner pourquoi je partage ça et pourquoi quand on a un endroit où beaucoup de tests on été faits, on a…",139,1250136556083560459,Tue Apr 14 18:59:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,101,nan,nan,nan,0.0
RT @ChrisBougnot: Bravo à l’équipe de @Handissimo mise en lumière comme elle le mérite pour son action d’information et d’orientation des #…,140,1250306541481152513,Wed Apr 15 06:14:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,3,nan,nan,nan,0.1
